Tempo(s),Pkt_env,Pkt_Rcv,Pkt_PDR,Exp_Pkt_Rcv,Exp_Pkts_Range_Recv,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10
68,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
69,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
70,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
71,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
72,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
73,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
74,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
75,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
76,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
77,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
78,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
79,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
80,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
81,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
82,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
83,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
84,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
85,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
86,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
87,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
88,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
89,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
90,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
91,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
92,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
93,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
94,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
95,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
96,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
97,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
98,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
99,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
100,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
101,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
102,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
103,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
104,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
105,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
106,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
107,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
108,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
109,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
110,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
111,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
112,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
113,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
114,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
115,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
116,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
117,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
118,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
119,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
120,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
121,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
122,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
123,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
124,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
